               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.032139,            0.029011,            0.081905,             0.77035,             0.71033,             0.76539,             0.53519,            0.031293,            0.017822,            0.079122,             0.00505,             0.00505,             0.00505
                 102,            0.032063,            0.029144,            0.081916,             0.77255,              0.7104,             0.76569,             0.53576,            0.031283,            0.017814,            0.079117,           0.0050005,           0.0050005,           0.0050005
                 103,            0.031997,             0.02892,            0.081786,             0.77263,             0.70893,             0.76564,             0.53605,            0.031273,            0.017806,            0.079114,            0.004951,            0.004951,            0.004951
                 104,             0.03196,            0.028991,            0.081757,             0.77271,             0.70998,             0.76596,             0.53633,            0.031263,            0.017801,            0.079109,           0.0049015,           0.0049015,           0.0049015
                 105,            0.031596,            0.028439,            0.081683,             0.77386,             0.71129,             0.76607,             0.53668,            0.031252,            0.017794,            0.079105,            0.004852,            0.004852,            0.004852
                 106,            0.031884,            0.028995,             0.08162,             0.77245,             0.71353,             0.76683,             0.53697,            0.031238,            0.017784,            0.079095,           0.0048025,           0.0048025,           0.0048025
                 107,            0.031538,             0.02858,            0.081666,             0.77621,             0.71286,             0.76692,             0.53727,            0.031228,            0.017777,            0.079088,            0.004753,            0.004753,            0.004753
                 108,            0.031457,            0.028401,            0.081647,              0.7757,             0.71233,             0.76678,             0.53734,            0.031219,            0.017769,            0.079083,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03145,             0.02883,            0.081398,             0.77495,             0.71389,             0.76663,             0.53807,             0.03121,            0.017762,            0.079079,            0.004654,            0.004654,            0.004654
                 110,            0.031361,            0.028335,            0.081456,              0.7746,             0.71541,              0.7666,             0.53819,            0.031199,            0.017754,            0.079075,           0.0046045,           0.0046045,           0.0046045
                 111,            0.031399,            0.028435,            0.081427,             0.77039,             0.71839,             0.76684,              0.5386,            0.031188,            0.017746,            0.079069,            0.004555,            0.004555,            0.004555
                 112,            0.031378,            0.028514,            0.081434,             0.77165,             0.71782,             0.76717,             0.53878,            0.031178,            0.017736,            0.079061,           0.0045055,           0.0045055,           0.0045055
                 113,            0.031102,            0.028161,            0.081402,             0.77229,             0.71798,             0.76744,             0.53922,            0.031171,            0.017728,            0.079055,            0.004456,            0.004456,            0.004456
                 114,             0.03124,            0.028366,            0.081355,             0.77217,             0.71866,             0.76784,             0.53965,            0.031163,             0.01772,             0.07905,           0.0044065,           0.0044065,           0.0044065
                 115,            0.031078,             0.02824,            0.081222,             0.77401,             0.71821,             0.76861,              0.5403,            0.031153,            0.017711,            0.079044,            0.004357,            0.004357,            0.004357
                 116,            0.030924,            0.027903,            0.081236,             0.77374,             0.71933,             0.76882,             0.54068,            0.031142,            0.017703,            0.079035,           0.0043075,           0.0043075,           0.0043075
                 117,            0.030763,            0.027776,            0.081131,             0.77516,             0.71887,             0.76907,             0.54095,            0.031134,            0.017695,            0.079031,            0.004258,            0.004258,            0.004258
                 118,            0.030754,            0.027957,            0.081224,              0.7757,             0.71834,             0.76935,             0.54171,            0.031125,            0.017687,            0.079024,           0.0042085,           0.0042085,           0.0042085
                 119,            0.030757,            0.028095,            0.080944,             0.77555,             0.72006,             0.76991,             0.54213,            0.031116,            0.017681,            0.079019,            0.004159,            0.004159,            0.004159
                 120,            0.030505,            0.027689,            0.080941,             0.77432,             0.72136,             0.77017,             0.54252,            0.031109,            0.017675,            0.079017,           0.0041095,           0.0041095,           0.0041095
                 121,            0.030572,            0.027576,            0.080955,             0.77568,             0.72142,             0.77018,             0.54284,            0.031106,            0.017669,             0.07901,             0.00406,             0.00406,             0.00406
                 122,            0.030385,            0.027621,            0.080998,             0.77756,              0.7224,             0.77026,             0.54314,            0.031099,            0.017662,               0.079,           0.0040105,           0.0040105,           0.0040105
                 123,            0.030412,             0.02765,            0.080865,             0.77896,             0.72236,             0.77038,             0.54336,            0.031096,            0.017656,            0.078998,            0.003961,            0.003961,            0.003961
                 124,            0.030244,             0.02749,            0.080997,             0.78002,             0.72307,             0.77042,             0.54364,            0.031093,            0.017651,            0.078992,           0.0039115,           0.0039115,           0.0039115
                 125,            0.030488,            0.027662,            0.080883,             0.78024,             0.72395,             0.77077,             0.54417,            0.031088,            0.017647,            0.078984,            0.003862,            0.003862,            0.003862
                 126,            0.030292,             0.02744,            0.080862,             0.78091,             0.72363,             0.77118,             0.54463,            0.031084,            0.017644,            0.078977,           0.0038125,           0.0038125,           0.0038125
                 127,            0.030143,            0.027401,            0.080784,             0.78151,              0.7228,             0.77136,             0.54469,            0.031081,            0.017641,            0.078973,            0.003763,            0.003763,            0.003763
                 128,            0.030066,            0.027309,            0.080878,             0.78206,             0.72295,             0.77116,             0.54524,            0.031076,            0.017639,            0.078969,           0.0037135,           0.0037135,           0.0037135
                 129,            0.030087,            0.027417,            0.080899,             0.78118,             0.72573,             0.77142,             0.54537,            0.031073,            0.017639,            0.078966,            0.003664,            0.003664,            0.003664
                 130,             0.03009,            0.027335,            0.080814,              0.7825,             0.72483,             0.77163,             0.54611,            0.031069,            0.017637,            0.078963,           0.0036145,           0.0036145,           0.0036145
                 131,             0.02976,            0.027338,            0.080561,             0.78076,             0.72653,             0.77206,             0.54659,            0.031062,            0.017636,            0.078959,            0.003565,            0.003565,            0.003565
                 132,             0.02974,            0.027015,            0.080607,             0.78128,             0.72698,             0.77223,             0.54697,             0.03106,            0.017635,            0.078956,           0.0035155,           0.0035155,           0.0035155
                 133,             0.02968,            0.027034,            0.080565,             0.78117,              0.7278,             0.77229,             0.54744,            0.031056,            0.017635,            0.078953,            0.003466,            0.003466,            0.003466
                 134,            0.029478,            0.026822,            0.080618,             0.78206,             0.72843,              0.7727,             0.54816,            0.031053,            0.017633,            0.078949,           0.0034165,           0.0034165,           0.0034165
                 135,            0.029715,            0.026845,            0.080595,             0.78273,              0.7292,             0.77304,              0.5487,            0.031051,            0.017632,            0.078948,            0.003367,            0.003367,            0.003367
                 136,            0.029466,            0.026793,            0.080451,             0.78392,             0.72839,             0.77347,             0.54894,            0.031049,            0.017632,            0.078944,           0.0033175,           0.0033175,           0.0033175
                 137,            0.029063,            0.026539,            0.080416,             0.78232,             0.73047,             0.77344,              0.5494,            0.031046,            0.017634,             0.07894,            0.003268,            0.003268,            0.003268
                 138,            0.029252,            0.026539,            0.080455,             0.78287,             0.73098,             0.77383,             0.55013,            0.031044,            0.017634,            0.078935,           0.0032185,           0.0032185,           0.0032185
                 139,            0.029207,            0.026507,            0.080326,             0.78493,             0.73101,             0.77394,             0.55036,            0.031042,            0.017636,            0.078931,            0.003169,            0.003169,            0.003169
                 140,            0.029141,            0.026142,            0.080438,             0.78694,             0.72961,             0.77399,             0.55061,            0.031039,            0.017636,            0.078926,           0.0031195,           0.0031195,           0.0031195
                 141,            0.028931,            0.026447,            0.080462,             0.78714,             0.72992,             0.77389,             0.55092,            0.031038,             0.01764,            0.078922,             0.00307,             0.00307,             0.00307
                 142,            0.028854,            0.026386,             0.08029,             0.78564,             0.73134,             0.77384,             0.55105,            0.031037,            0.017643,            0.078919,           0.0030205,           0.0030205,           0.0030205
                 143,            0.028762,            0.026292,            0.080195,             0.78529,             0.73129,             0.77389,              0.5512,            0.031035,            0.017644,            0.078915,            0.002971,            0.002971,            0.002971
                 144,            0.028778,            0.026231,             0.08032,              0.7855,             0.73196,             0.77401,             0.55153,            0.031036,            0.017646,            0.078913,           0.0029215,           0.0029215,           0.0029215
                 145,            0.028928,            0.026229,            0.080196,             0.78606,             0.73237,             0.77401,             0.55203,            0.031035,            0.017646,            0.078912,            0.002872,            0.002872,            0.002872
                 146,            0.028699,            0.026105,            0.080136,             0.78784,             0.73128,             0.77405,             0.55215,            0.031034,            0.017647,            0.078908,           0.0028225,           0.0028225,           0.0028225
                 147,            0.028601,            0.025632,            0.080155,             0.78796,             0.73184,             0.77438,             0.55236,            0.031039,            0.017651,            0.078903,            0.002773,            0.002773,            0.002773
                 148,            0.028435,             0.02612,            0.079938,             0.78795,             0.73133,             0.77461,             0.55299,             0.03104,            0.017656,            0.078901,           0.0027235,           0.0027235,           0.0027235
                 149,              0.0285,            0.025714,            0.079957,             0.78972,             0.72991,             0.77476,             0.55307,            0.031045,            0.017661,            0.078899,            0.002674,            0.002674,            0.002674
                 150,            0.028227,            0.025786,             0.08001,             0.78903,             0.72949,             0.77496,             0.55348,            0.031049,            0.017667,            0.078896,           0.0026245,           0.0026245,           0.0026245
                 151,            0.028047,            0.025505,            0.079983,             0.78887,             0.72997,             0.77513,             0.55361,            0.031052,            0.017674,            0.078891,            0.002575,            0.002575,            0.002575
                 152,            0.028232,            0.025649,            0.079908,             0.78897,             0.72992,             0.77513,             0.55386,            0.031055,             0.01768,            0.078889,           0.0025255,           0.0025255,           0.0025255
                 153,             0.02805,            0.025475,             0.07977,             0.79038,             0.72934,             0.77589,             0.55432,            0.031055,            0.017684,            0.078888,            0.002476,            0.002476,            0.002476
                 154,             0.02795,            0.025477,            0.079817,             0.78948,              0.7313,             0.77608,             0.55441,            0.031055,            0.017688,            0.078886,           0.0024265,           0.0024265,           0.0024265
                 155,            0.027906,            0.025436,            0.079841,             0.79174,             0.73017,             0.77625,             0.55467,            0.031053,            0.017693,            0.078882,            0.002377,            0.002377,            0.002377
                 156,            0.027763,            0.025365,            0.079721,              0.7921,             0.72972,             0.77608,             0.55505,            0.031051,            0.017696,            0.078881,           0.0023275,           0.0023275,           0.0023275
                 157,            0.027519,            0.024917,            0.079734,             0.79276,             0.72961,             0.77643,             0.55525,            0.031049,            0.017698,            0.078877,            0.002278,            0.002278,            0.002278
                 158,            0.027562,            0.025179,            0.079646,             0.79338,             0.72959,             0.77663,             0.55547,             0.03105,            0.017705,            0.078878,           0.0022285,           0.0022285,           0.0022285
                 159,            0.027676,            0.025136,            0.079654,             0.79316,             0.72889,             0.77679,             0.55569,             0.03105,            0.017711,            0.078878,            0.002179,            0.002179,            0.002179
                 160,             0.02749,            0.024809,            0.079592,             0.79329,             0.72876,             0.77698,             0.55584,            0.031051,            0.017716,            0.078876,           0.0021295,           0.0021295,           0.0021295
