               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  77,            0.096959,             0.16237,            0.055475,             0.35106,             0.25699,              0.2387,             0.12151,            0.093523,             0.22867,             0.05776,            0.002476,            0.002476,            0.002476
                  78,            0.096826,             0.16268,            0.055447,             0.34599,             0.26156,             0.24109,              0.1225,            0.093497,             0.22854,            0.057743,            0.002377,            0.002377,            0.002377
                  79,            0.096581,             0.16045,            0.055344,             0.35654,             0.25602,             0.24094,             0.12234,            0.093502,             0.22874,            0.057731,            0.002278,            0.002278,            0.002278
                  80,            0.097064,             0.16249,            0.055346,             0.34932,             0.26038,             0.24249,             0.12338,            0.093453,             0.22874,            0.057702,            0.002179,            0.002179,            0.002179
                  81,            0.096551,             0.16116,            0.055509,             0.38051,             0.26321,             0.24281,             0.12382,            0.093415,             0.22874,            0.057687,             0.00208,             0.00208,             0.00208
                  82,            0.096931,             0.15985,            0.055261,             0.38324,             0.26405,             0.24477,             0.12422,            0.093409,             0.22858,            0.057666,            0.001981,            0.001981,            0.001981
                  83,             0.09661,             0.16139,            0.055288,             0.36652,             0.26528,             0.24416,             0.12437,            0.093423,             0.22863,            0.057678,            0.001882,            0.001882,            0.001882
                  84,            0.096384,             0.15983,            0.055271,             0.34798,             0.26595,             0.24508,             0.12479,            0.093394,             0.22857,            0.057682,            0.001783,            0.001783,            0.001783
                  85,              0.0969,             0.16139,            0.055241,             0.37306,             0.26523,             0.24442,             0.12408,            0.093387,             0.22859,            0.057668,            0.001684,            0.001684,            0.001684
                  86,            0.096307,             0.16071,            0.055395,             0.36853,             0.26773,             0.24502,             0.12441,            0.093385,             0.22864,            0.057678,            0.001585,            0.001585,            0.001585
                  87,            0.096676,             0.15987,            0.055233,             0.36716,             0.26817,             0.24654,             0.12556,            0.093324,             0.22865,            0.057655,            0.001486,            0.001486,            0.001486
                  88,            0.096605,             0.16094,            0.055303,             0.37594,             0.26765,              0.2478,             0.12599,            0.093306,             0.22857,            0.057618,            0.001387,            0.001387,            0.001387
                  89,             0.09645,             0.16134,            0.055108,             0.37812,             0.26533,             0.24813,             0.12626,            0.093269,             0.22854,            0.057612,            0.001288,            0.001288,            0.001288
                  90,            0.096067,             0.16051,            0.055112,             0.36334,             0.26727,             0.24725,             0.12594,            0.093268,              0.2287,            0.057623,            0.001189,            0.001189,            0.001189
                  91,            0.096288,              0.1602,            0.055139,             0.36924,             0.26691,             0.24864,             0.12698,            0.093246,              0.2288,            0.057602,             0.00109,             0.00109,             0.00109
                  92,            0.096226,             0.16048,            0.055142,             0.38203,             0.26632,             0.24796,             0.12694,            0.093242,             0.22886,            0.057597,            0.000991,            0.000991,            0.000991
                  93,            0.096142,             0.15884,            0.055151,             0.37691,             0.26741,             0.24791,             0.12719,            0.093229,             0.22899,            0.057584,            0.000892,            0.000892,            0.000892
                  94,            0.095765,              0.1592,            0.055087,             0.38565,             0.26872,             0.24908,             0.12749,            0.093214,             0.22891,             0.05759,            0.000793,            0.000793,            0.000793
                  95,            0.096371,             0.15885,            0.055039,             0.38485,             0.26882,             0.24876,             0.12721,            0.093211,             0.22893,            0.057586,            0.000694,            0.000694,            0.000694
                  96,            0.096477,             0.16159,            0.055174,             0.38674,             0.26879,             0.24869,             0.12721,            0.093208,             0.22886,            0.057579,            0.000595,            0.000595,            0.000595
                  97,            0.096044,             0.15974,            0.055092,             0.38979,             0.26977,             0.24967,             0.12756,            0.093201,             0.22888,            0.057575,            0.000496,            0.000496,            0.000496
                  98,            0.096049,             0.15985,            0.054996,             0.38914,             0.26877,             0.24918,             0.12738,            0.093207,             0.22887,             0.05757,            0.000397,            0.000397,            0.000397
                  99,            0.095726,             0.15805,            0.055185,             0.38875,              0.2714,              0.2488,             0.12757,             0.09321,             0.22884,            0.057569,            0.000298,            0.000298,            0.000298
