               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.048797,            0.048377,            0.043454,             0.60457,             0.19325,             0.19361,             0.11493,            0.046869,            0.047387,            0.043018,            0.001486,            0.001486,            0.001486
                  88,            0.048816,            0.048065,            0.043428,             0.58488,             0.19878,             0.19435,             0.11557,            0.046845,            0.047345,            0.042993,            0.001387,            0.001387,            0.001387
                  89,            0.048864,             0.04771,            0.043511,             0.57892,             0.19679,              0.1941,             0.11607,            0.046836,            0.047313,            0.042979,            0.001288,            0.001288,            0.001288
                  90,            0.048647,            0.047878,            0.043415,             0.57608,             0.19957,             0.19458,             0.11634,             0.04681,             0.04731,            0.043009,            0.001189,            0.001189,            0.001189
                  91,            0.048575,            0.048087,            0.043468,             0.57511,             0.20027,             0.19473,              0.1161,            0.046798,            0.047301,            0.042991,             0.00109,             0.00109,             0.00109
                  92,            0.048466,            0.047655,            0.043429,              0.5764,             0.19689,             0.19436,             0.11529,             0.04678,             0.04729,            0.042983,            0.000991,            0.000991,            0.000991
                  93,            0.048543,            0.047737,            0.043421,             0.57679,              0.1931,             0.19405,             0.11579,             0.04678,             0.04727,            0.042983,            0.000892,            0.000892,            0.000892
                  94,            0.048423,            0.048166,            0.043418,             0.57815,             0.19493,             0.19469,              0.1159,            0.046775,            0.047276,            0.042979,            0.000793,            0.000793,            0.000793
                  95,            0.048292,            0.047778,             0.04337,             0.57964,             0.19491,             0.19514,             0.11589,            0.046774,            0.047283,            0.042991,            0.000694,            0.000694,            0.000694
                  96,            0.048256,            0.047493,            0.043392,             0.57904,             0.19579,              0.1951,             0.11601,            0.046766,            0.047279,            0.042997,            0.000595,            0.000595,            0.000595
                  97,            0.048315,            0.047623,            0.043333,             0.58042,              0.1954,             0.19539,             0.11652,            0.046752,            0.047264,            0.042993,            0.000496,            0.000496,            0.000496
                  98,             0.04818,            0.048063,             0.04324,             0.58211,             0.19491,             0.19522,              0.1167,            0.046744,            0.047245,            0.042983,            0.000397,            0.000397,            0.000397
                  99,            0.048162,            0.047039,            0.043368,              0.5839,             0.19345,             0.19649,             0.11735,            0.046743,             0.04725,            0.042977,            0.000298,            0.000298,            0.000298
